uniqueName,superclasses,subclasses,description
LOCK AND DOOR CLOSER ASSEMBLY,ARRESTOR,"LOCK NS 3620 CLASS 4 AND DOOR CLOSER NS 3420-R61.2:1999, LOCK NS 3620 CLASS 3 AND DOOR CLOSER NS 3420-R61.2:1999",A &lt;LOCK AND DOOR CLOSER ASSEMBLY&gt; is an &lt;ARTEFACT&gt; and an &lt;ARRESTOR&gt; and that is an assembly of a door lock and a door closer
LOCK NS 3620 CLASS 3 AND DOOR CLOSER NS 3420-R61.2:1999,LOCK AND DOOR CLOSER ASSEMBLY,,A &lt;LOCK NS 3620 CLASS 3 AND DOOR CLOSER NS 3420-R61.2:1999&gt; is a &lt;LOCK AND DOOR CLOSER ASSEMBLY&gt; complying with NS 3620 Class 3 and door closers conforming to NS 3420-R61.2:1999
LOCK NS 3620 CLASS 4 AND DOOR CLOSER NS 3420-R61.2:1999,LOCK AND DOOR CLOSER ASSEMBLY,,A &lt;LOCK NS 3620 CLASS 4 AND DOOR CLOSER NS 3420-R61.2:1999&gt; is a &lt;LOCK AND DOOR CLOSER ASSEMBLY&gt; complying with NS 3620 Class 4 and door closers conforming to NS 3420-R61.2:1999
SPARK ARRESTOR,ARRESTOR,spark arrestor,A &lt;SPARK ARRESTOR&gt;  is an &lt;ARTEFACT&gt; and an &lt;ARRESTOR&gt; that removes incandescent particles from a gas stream. Spark arrestors are fitted to vehicles and stationary engines which are operated in potentially flammable atmospheres
spark arrestor,SPARK ARRESTOR,,A device which removes incandescent particles from a gas stream. Spark arrestors are fitted to vehicles and stationary engines which are operated in potentially flammable atmospheres
arrestor,ARRESTOR,,A physical object intended to prevent something to pass
ATOMISER,,,An &lt;ATOMISER&gt; is a &lt;FunctionalObject&gt; that has the capability of &lt;ATOMISING&gt;
ATTENUATOR,,"TELECOMMUNICATIONS ATTENUATOR, SOUND ATTENUATOR",An &lt;ATTENUATOR&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;ATTENUATING&gt;
TELECOMMUNICATIONS ATTENUATOR,ATTENUATOR,attenuator,"A &lt;TELECOMMUNICATIONS ATTENUATOR&gt; is an &lt;ARTEFACT&gt; and an &lt;ATTENUATOR&gt; that is a telecommunication device that reduces the amplitude of a signal without appreciably distorting its waveform. Attenuators are usually passive devices. The degree of attenuation may be fixed, continuously adjustable, or incrementally adjustable"
attenuator,TELECOMMUNICATIONS ATTENUATOR,,"An attenuator is a telecommunication device that reduces the amplitude of a signal without appreciably distorting its waveform. Attenuators are usually passive devices. The degree of attenuation may be fixed, continuously adjustable, or incrementally adjustable"
AUTHOR,,,An &lt;AUTHOR&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;AUTHORING&gt;
BALANCER,,"BALANCING WEIGHT, BALANCING GEAR, AIR BALANCING UNIT, BALANCING RING, BALANCING BUS, COUNTERWEIGHT, PRESSURE BALANCING TUBE, BALANCE COUNTER DISC, THRUST BALANCE ASSEMBLY",A &lt;BALANCER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;BALANCING&gt; some phenomenon
AIR BALANCING UNIT,BALANCER,air balancing unit,"An &lt;AIR BALANCING UNIT&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt; where counterbalance is provided by a pneumatic cylinder charged with air, eliminating the need for counterweights"
air balancing unit,AIR BALANCING UNIT,,An air balancing unit on a nodding donkey
BALANCE COUNTER DISC,BALANCER,,A &lt;BALANCE COUNTER DISC&gt; is a &lt;DISC&gt; and a &lt;BALANCER&gt; intended to balance the shaft and is attached to a &lt;SHAFT&gt;
BALANCING BUS,"BALANCER, ELECTRICAL NODE",,"A &lt;BALANCING BUS&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt; and an &lt;ELECTRICAL NODE&gt;, that is the node of a network the input power of which is controlled so as to equalise the sum of all other input powers and of the active power losses of the network"
BALANCING GEAR,BALANCER,,A &lt;BALANCING GEAR&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt;  with rotating weight(s) which reduces internal mass forces in a reciprocating piston engine
BALANCING RING,BALANCER,,A &lt;BALANCING RING&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt;   that is a disc or collar intended to be fastened to a pump shaft to balance the thrust from the impellers
BALANCING WEIGHT,BALANCER,CROSSHEAD BALANCING WEIGHT,A &lt;BALANCING WEIGHT&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt; intended to compensate (counter) unbalanced masses and subsequent dynamic forces
CROSSHEAD BALANCING WEIGHT,BALANCING WEIGHT,,A &lt;CROSSHEAD BALANCING WEIGHT&gt; is a &lt;BALANCING WEIGHT&gt; that is a weight connected on either side of the crosshead body
COUNTERWEIGHT,BALANCER,CRANKSHAFT COUNTERWEIGHT,A &lt;COUNTERWEIGHT&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt; and a &lt;POTENTIAL TO MECHANICAL ENERGY CONVERTER&gt; intended to compensate for unbalanced masses and subsequent dynamic forces
CRANKSHAFT COUNTERWEIGHT,COUNTERWEIGHT,,A &lt;CRANKSHAFT COUNTERWEIGHT&gt; is a &lt;COUNTERWEIGHT&gt; that is a weight connected opposite a crank
PRESSURE BALANCING TUBE,"BALANCER, FLUID CONDUCTOR",,A &lt;PRESSURE BALANCING TUBE&gt; is an &lt;ARTEFACT&gt; and a &lt;FLUID CONDUCTOR&gt; and a &lt;BALANCER&gt; that provides hydraulic balance between pump suction and bottom of submersible electric motor oil reservoir
THRUST BALANCE ASSEMBLY,BALANCER,"BALANCE DISC ASSEMBLY, BALANCE DRUM ASSEMBLY, PISTON THRUST BALANCER, DISC THRUST BALANCER","A &lt;THRUST BALANCE ASSEMBLY&gt; is an &lt;ARTEFACT&gt; and a &lt;BALANCER&gt;, intended to counteract the thrust on a shaft caused by impellers or rotors. Possibly also intended to reduce the seal pressure"
BALANCE DRUM ASSEMBLY,THRUST BALANCE ASSEMBLY,,A &lt;BALANCE DRUM ASSEMBLY&gt; is a &lt;THRUST BALANCE ASSEMBLY&gt; which contains a drum assembly
BALANCE DISC ASSEMBLY,THRUST BALANCE ASSEMBLY,,A &lt;BALANCE DISC ASSEMBLY&gt; is a &lt;THRUST BALANCE ASSEMBLY&gt; that contains a disc assembly
DISC THRUST BALANCER,THRUST BALANCE ASSEMBLY,,A &lt;DISC THRUST BALANCER&gt; is a &lt;THRUST BALANCE ASSEMBLY&gt; used to absorb thrust generated in the axial direction of the multi stage pump
PISTON THRUST BALANCER,THRUST BALANCE ASSEMBLY,,A &lt;PISTON THRUST BALANCER&gt; is a &lt;THRUST BALANCE ASSEMBLY&gt; utilising a piston (drum) keyed or screwed to the shaft rotating within a stationary cylinder fixed to the pump casing and separating the balancing chamber from the pump interior. The resultant of the forces acting on the balancing piston by the discharge pressure on the inside and discharge pressure on the outside tend to counteract the thrust on the shaft caused by the impellers
BENDER,,"PIPE BENDER, BENDING MACHINE",A &lt;BENDER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;BENDING&gt; something
BENDING MACHINE,BENDER,PIPE BENDING MACHINE,A &lt;PIPE BENDING MACHINE&gt; is a &lt;MACHINE&gt; and a &lt;BENDER&gt; that is capable of &lt;BENDING&gt; something
PIPE BENDING MACHINE,"PIPE BENDER, BENDING MACHINE",,A &lt;PIPE BENDING MACHINE&gt; is an &lt;ARTEFACT&gt; and a &lt;BENDING MACHINE&gt; and a &lt;PIPE BENDER&gt;
PIPE BENDER,BENDER,PIPE BENDING MACHINE,A &lt;PIPE BENDER&gt; is a &lt;BENDER&gt; that is capable of &lt;BENDING&gt; a &lt;PIPE&gt;
BLOCKER,,"SHAFT KEY, SPADE, BLOCKING MECHANISM, LINE BLIND, SEAL PAN, PLUG, SCREEN, SLUICE, BARRIER, PLUG AND CHAIN ASSEMBLY",A &lt;BLOCKER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;BLOCKING&gt;
BARRIER,"BLOCKER, DIVIDER(separator)","ANTI CONDENSATION BARRIER, WEATHER BARRIER, COMPUTER FIREWALL, GRID, FENCE, VAPOR BARRIER, HEAT BARRIER, ELECTRICAL BARRIER",A &lt;BARRIER&gt; is a &lt;BLOCKER&gt; and a &lt;DIVIDER(separator)&gt; against passage
HEAT BARRIER,BARRIER,,A &lt;HEAT BARRIER&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; intended to obstruct heat transfer
ANTI CONDENSATION BARRIER,BARRIER,,An &lt;ANTI CONDENSATION BARRIER&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; intended to avoid air moisture condensation
COMPUTER FIREWALL,BARRIER,,"A &lt;COMPUTER FIREWALL&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; that is a device or set of devices configured to permit, deny, encrypt, decrypt, or proxy all (in and out) computer traffic between different security domains based upon a set of rules and other criteria"
FENCE,BARRIER,,"A &lt;FENCE&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; or other upright structure, typically of wood or wire, enclosing an area of ground to prevent or control access or escape"
VAPOR BARRIER,BARRIER,,A &lt;VAPOR BARRIER&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; which is a layer of material (as roofing paper or polyethylene film) used to retard or prevent the absorption of moisture into a construction (as a wall or floor)
WEATHER BARRIER,BARRIER,,A &lt;WEATHER BARRIER&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; which is a layer of material (as roofing paper) used to retard or prevent air and water to be transported into insulation
GRID,BARRIER,,A &lt;GRID&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; that consists of crossed grid bars and that covers an opening leaving evenly spaced smaller openings intended to prevent bigger solids from passing through the original opening
ELECTRICAL BARRIER,BARRIER,,An &lt;ELECTRICAL BARRIER&gt; is an &lt;ARTEFACT&gt; and a &lt;BARRIER&gt; that is made up of a refractory material intended to localize or direct any arc which may arise on the operation of a circuit-breaker
BLOCKING MECHANISM,BLOCKER,COUNTER ROTATION BLOCKING MECHANISM,A &lt;BLOCKING MECHANISM&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt;.
COUNTER ROTATION BLOCKING MECHANISM,BLOCKING MECHANISM,,A &lt;COUNTER ROTATION BLOCKING MECHANISM&gt; is a &lt;BLOCKING MECHANISM&gt; that prevents counter rotation
LINE BLIND,BLOCKER,"line blind, PIPE FLANGE SPADE, SPECTACLE BLIND",A &lt;LINE BLIND&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; used to blind off a process stream
line blind,LINE BLIND,,A functional unit used to blind off a process stream
SPECTACLE BLIND,"SPADE, SPACER, LINE BLIND",spectacle blind,"A &lt;SPECTACLE BLIND&gt; is a &lt;LINE BLIND&gt; and a &lt;SPACER&gt; and a &lt;SPADE&gt; that consists of two discs with equal thickness and outer diameter connected with a flat bar. One of the discs has a hole, while the other disc is without hole"
PIPE FLANGE SPADE,"SPADE, LINE BLIND",,A &lt;PIPE FLANGE SPADE&gt; is a &lt;LINE BLIND&gt; and a &lt;SPADE&gt; that is a circular plate with no central opening and holes to match mating flanged ends. It is also equipped with a handle
PLUG,BLOCKER,"BULL PLUG, EXPANDABLE PLUG, CEMENTING PLUG, PIPE PLUG, BULLNOSE, BRIDGE PLUG, RUBBER PLUG, TUBING HANGER PLUG",A &lt;PLUG&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; and that fits tigthly into a hole and blocks it
TUBING HANGER PLUG,PLUG,,A &lt;TUBING HANGER PLUG&gt; is a &lt;PLUG&gt; used in a tubing hanger to block the tubing hanger bore above the production outlet
EXPANDABLE PLUG,PLUG,,An &lt;EXPANDABLE PLUG&gt; is a &lt;PLUG&gt; and a smaller initial outaide diameter and expands externally to seal the hole where it is set
BULL PLUG,PLUG,,"A &lt;BULL PLUG&gt; is a &lt;PLUG&gt; that is a threaded pipe fitting or nipple with a rounded, closed end that forms a cap. The bull plug is intended to close a pipe"
BULLNOSE,PLUG,,A &lt;BULLNOSE&gt; is a &lt;PLUG&gt; that is intended to fit into a subsesa production flowline and allows a line to enter the flowline. The bullnose is removed once the line is secured
RUBBER PLUG,PLUG,,A &lt;RUBBER PLUG&gt; is a &lt;PLUG&gt; that is made of &lt;SYNTHETIC RUBBER&gt;
PIPE PLUG,PLUG,,A &lt;PIPE PLUG&gt; is a &lt;PLUG&gt; intended for plugging a pipe end
CEMENTING PLUG,PLUG,,"A &lt;CEMENTING PLUG&gt; is a &lt;PLUG&gt; used to separate the wellbore cement slurry from other fluids, reducing contamination and maintaining predictable wellbore cement slurry performance"
BRIDGE PLUG,PLUG,,A &lt;BRIDGE PLUG&gt; is a &lt;PLUG&gt; that is located and set to isolate a (lower) part of a wellbore
PLUG AND CHAIN ASSEMBLY,BLOCKER,,A &lt;PLUG AND CHAIN ASSEMBLY&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt;  that is an assembly of a &lt;THREADED PIPE PLUG&gt; and a &lt;CHAIN&gt;
SCREEN,BLOCKER,"CABLE SCREEN, WEDGE SCREEN, PRODUCT SCREEN, ELECTRIC SCREEN","A &lt;SCREEN&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; intended to shelter, protect, hide or separate"
PRODUCT SCREEN,"SCREEN, FILTER","INLET SCREEN, STATIONARY SCREEN, REVOLVING SCREEN, VIBRATING SCREEN",A &lt;PRODUCT SCREEN&gt; is a &lt;SCREEN&gt; and a &lt;FILTER&gt; used to separate particles or molecules of a &lt;FLUID&gt; or &lt;SOLID&gt;s according to their size on a continuous basis
WEDGE SCREEN,SCREEN,,A &lt;WEDGE SCREEN&gt; is a &lt;FILTER CARTRIDGE&gt; and a &lt;SCREEN&gt; that contains a V-shape wire profile
ELECTRIC SCREEN,SCREEN,,An &lt;ELECTRIC SCREEN&gt; is a &lt;SCREEN&gt; of conductive material intended to reduce the penetration of an electric field into a given region
CABLE SCREEN,SCREEN,,A &lt;CABLE SCREEN&gt; is a &lt;SCREEN&gt; and a &lt;CABLE LAYER&gt; consisting of conducting layer(s) having the function to control the electric field within the insulation
SEAL PAN,BLOCKER,,A &lt;SEAL PAN&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; intended to prevent passage of vapour through a downcomer and that has a shape of a pan
SHAFT KEY,BLOCKER,"IMPELLER KEY, SEAL DRIVE KEY, WOODRUFF KEY",A &lt;SHAFT KEY&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; and that is assembled with a shaft and a hub to prevent the hub rotating about the shaft
IMPELLER KEY,SHAFT KEY,,An &lt;IMPELLER KEY&gt; is a &lt;SHAFT KEY&gt; that is intended for securing an impeller to the shaft
SEAL DRIVE KEY,SHAFT KEY,,A &lt;SEAL DRIVE KEY&gt; is a &lt;SHAFT KEY&gt; that is used in combination with the seal drive to have the non-stationary parts of the seals rotated
WOODRUFF KEY,"SHAFT KEY, CONNECTOR",,A &lt;WOODRUFF KEY&gt; is a &lt;SHAFT KEY&gt; and a &lt;CONNECTOR&gt; intended to transmit torque between a shaft and hub and shaped like a segment of a disk
SLUICE,"BLOCKER, FLUID REGULATOR",,"An &lt;SLUICE&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; and a &lt;FLUID REGULATOR&gt; that is a channel for a fluid to flow through, fitted with a valve or gate for stopping or regulating flow"
SPADE,BLOCKER,"SPECTACLE BLIND, PIPE FLANGE SPADE",A &lt;SPADE&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOCKER&gt; that is a round piece of metal with a small tab that is placed in between two pipe flanges to give positive isolation from the centre; usually to prevent cross contamination between fluids or to allow work on the line. The small tab lets one see that the spade is in place
BLOWER,,"AIR BLOWER, CENTRIFUGAL BLOWER, AXIAL BLOWER, blower",A &lt;BLOWER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;BLOWING&gt; a medium volume flow
AIR BLOWER,BLOWER,SCAVENGE AIR AUXILIARY BLOWER,An &lt;AIR BLOWER&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOWER&gt; intended to compress air
SCAVENGE AIR AUXILIARY BLOWER,AIR BLOWER,,"A &lt;SCAVENGE AIR AUXILIARY BLOWER&gt; is an &lt;AIR BLOWER&gt;, normally electric driven, that is brought into operation to supply air to the manifold when the diesel engine is running on part load and the turbocharger capacity is low or absent."
AXIAL BLOWER,BLOWER,,An &lt;AXIAL BLOWER&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOWER&gt; in which the flow direction is parallel to the shaft
CENTRIFUGAL BLOWER,BLOWER,,"A &lt;CENTRIFUGAL BLOWER&gt; is an &lt;ARTEFACT&gt; and a &lt;BLOWER&gt; that is provided with an impeller, and generates pressure increase by means of centrifugal action and a volute casing."
blower,BLOWER,,A physical object intended to compress and supply air or gas at medium pressure and medium volume flow
BRAKE,,"BRAKE UNIT, AUXILIARY BRAKE, ELECTRIC BRAKE, MECHANICAL BRAKE, ELECTROMAGNETIC BRAKE, brake",A &lt;BRAKE&gt; is a &lt;FunctionalObject&gt; that has the capability of &lt;BRAKING&gt;
AUXILIARY BRAKE,BRAKE,,An &lt;AUXILIARY BRAKE&gt; is an &lt;ARTEFACT&gt; and a &lt;BRAKE&gt; that is a supplemental brake for assisting a &lt;MECHANICAL BRAKE&gt;
BRAKE UNIT,BRAKE,,"A &lt;BRAKE UNIT&gt; is an &lt;ARTEFACT&gt; and a &lt;BRAKE&gt; that is applying resistance to the motion of a body, either to retard it, as with a vehicle brake, or to absorb and measure the power developed in an engine or a motor"
ELECTRIC BRAKE,BRAKE,,An &lt;ELECTRIC BRAKE&gt; is an &lt;ARTEFACT&gt; and a &lt;BRAKE&gt; in which electric energy is generated
ELECTROMAGNETIC BRAKE,BRAKE,,An &lt;ELECTROMAGNETIC BRAKE&gt; is an &lt;ARTEFACT&gt; and a &lt;BRAKE&gt; using electro-magnets to produce a braking force
MECHANICAL BRAKE,BRAKE,"DISC BRAKE, DRUM BRAKE",A &lt;MECHANICAL BRAKE&gt; is an &lt;ARTEFACT&gt; and a &lt;BRAKE&gt; in which the braking force is provided by friction between brake blocks or pads and the wheels or separate discs
DRUM BRAKE,MECHANICAL BRAKE,,A &lt;DRUM BRAKE&gt; is a &lt;MECHANICAL BRAKE&gt; that operates by the friction of an external band or internal brake shoe pressing against the brake drum (rotating drum).
DISC BRAKE,MECHANICAL BRAKE,,A &lt;DISC BRAKE&gt; is a &lt;MECHANICAL BRAKE&gt; that operates by the friction of two or more pads closed by the caliper action on to a disc which is connected rigidly to the wheel-hub.
brake,BRAKE,,A physical object intended to arrest or prevent the motion of an item. Typically by means of friction
BREATHER,,"BREATHING APPARATUS, VENT HEAD, DEHYDRATING BREATHER",A &lt;BREATHER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;BREATHING&gt;
BREATHING APPARATUS,BREATHER,"breathing apparatus, SELF-CONTAINED BREATHING APPARATUS",A &lt;BREATHING APPARATUS&gt; is a &lt;RESPIRATOR&gt; and a &lt;BREATHER&gt; in which air or oxygen is fed to a face mask carried by the wearer via a demand valve
breathing apparatus,BREATHING APPARATUS,,A respirator in which air or oxygen is fed to a face mask carried by the wearer via a demand valve
SELF-CONTAINED BREATHING APPARATUS,BREATHING APPARATUS,,"A &lt;SELF-CONTAINED BREATHING APPARATUS&gt; is a &lt;BREATHING APPARATUS&gt; that provides breathable air in an IDLH (Immediate Danger to Life and Health) atmosphere, and that is not dependent on a remote supply (e.g. through a long hose)."
DEHYDRATING BREATHER,"BREATHER, DEHYDRATOR",,"A &lt;DEHYDRATING BREATHER&gt; is a &lt;BREATHER&gt; and a &lt;DEHYDRATOR&gt;, that prevents moisture being drawn into an item or equipment"
VENT HEAD,BREATHER,,"A &lt;VENT HEAD&gt; is an &lt;ARTEFACT&gt; and a &lt;BREATHER&gt; that discharges gas to the atmosphere at low velocity, and that is intended for vertical connection to a &lt;VENT LINE&gt;"
BRIDGE,,"MOVABLE BRIDGE, SUSPENSION BRIDGE, bridge",A &lt;BRIDGE&gt; is a &lt;FunctionalObject&gt; spanning from one position in space to an other giving communication or passage across an obstacle
MOVABLE BRIDGE,BRIDGE,"LIFTING BRIDGE, SWING BRIDGE, BASCULE BRIDGE",A &lt;MOVABLE BRIDGE&gt; is an &lt;ARTEFACT&gt; and a &lt;BRIDGE&gt; that moves to allow passage of ships
BASCULE BRIDGE,MOVABLE BRIDGE,,A &lt;BASCULE BRIDGE&gt; is a &lt;MOVABLE BRIDGE&gt; with a section which can be raised and lowered using counterweights
LIFTING BRIDGE,MOVABLE BRIDGE,,A &lt;LIFTING BRIDGE&gt; is a &lt;MOVABLE BRIDGE&gt; in which a span rises vertically while remaining parallel with the deck
SWING BRIDGE,MOVABLE BRIDGE,,"A &lt;SWING BRIDGE&gt; is a &lt;MOVABLE BRIDGE&gt; that has as its primary structural support a vertical locating pin and support ring, usually at or near to its center of gravity, about which the turning span can then pivot horizontally as shown in the animated illustration to the right"
SUSPENSION BRIDGE,BRIDGE,,A &lt;SUSPENSION BRIDGE&gt; is an &lt;ARTEFACT&gt; and a &lt;BRIDGE&gt; in which the weight of the deck is supported by vertical cables suspended from further cables that run between towers and are anchored in abutments at each end
bridge,BRIDGE,,Is a support structure intended to span a space
BURNER,,"FLARE, COAL BURNER, PREMIX BURNER, nozzle, IGNITION BURNER, LOW-NOX BURNER, DUAL FUEL BURNER ELEMENT, FLARE TIP, MAIN BURNER, LINE BURNER, OPEN BURNER, combination, START UP BURNER, WASTE-GAS BURNER, SWIRL BURNER, RAW-GAS BURNER",A &lt;BURNER&gt; is a &lt;FunctionalObject&gt; that is intended to release thermal energy by burning a combustible mixture
COAL BURNER,BURNER,,A &lt;COAL BURNER&gt; is an &lt;ARTEFACT&gt; and a &lt;BURNER&gt; that is designed to burn coal
DUAL FUEL BURNER ELEMENT,BURNER,,"A &lt;DUAL FUEL BURNER ELEMENT&gt; is an &lt;ARTEFACT&gt; and a &lt;BURNER&gt; that consists of two burners, and is designed to burn &lt;FUEL OIL&gt;"
FLARE,BURNER,"FLARE BOOM, flare, FLARE TOWER",A &lt;FLARE&gt; is a &lt;BURNER&gt; that has a capability of &lt;FLARING&gt;
flare,FLARE,,A system that burns waste in an elevated flame in the open air
FLARE TOWER,FLARE,,"A &lt;FLARE TOWER&gt;&gt; is an &lt;ARTEFACT&gt; and a &lt;FLARE&gt;, with a flare tip in the end intended for burning waste process gas in secure distance from the plant or platform"
FLARE BOOM,FLARE,,"A &lt;FLARE BOOM&gt;&gt; is an &lt;ARTEFACT&gt; and a &lt;FLARE&gt;, and is a structure to position the flaretip at a safe distance from the production platform. As a boom the facility is positioned at an angle to the vertical line"
FLARE TIP,BURNER,"HP FLARE TIP, flare tip, LP FLARE TIP",A &lt;FLARE TIP&gt; is an &lt;ARTEFACT&gt; and a &lt;BURNER&gt; that burns gas emitted from a process into the atmosphere
flare tip,FLARE TIP,,A burner that burns gas emitted from a process into the atmosphere
LP FLARE TIP,FLARE TIP,,An &lt;LP FLARE TIP&gt; is a &lt;FLARE TIP&gt; intended to burn waste process gas from the Low Pressure part of the process system. Also referred to as pipe flare.
HP FLARE TIP,FLARE TIP,,An &lt;HP FLARE TIP&gt; is a &lt;FLARE TIP&gt; intended to burn waste process gas from the High Pressure part of the process system.
IGNITION BURNER,BURNER,PILOT BURNER,An &lt;IGNITION BURNER&gt; is an &lt;ARTEFACT&gt; and a &lt;BURNER&gt; that is intended to ignite the main burner or burners
PILOT BURNER,IGNITION BURNER,,A &lt;PILOT BURNER&gt; is an &lt;IGNITION BURNER&gt; that is intended to burn continuously in order to light other burners when required.
