UniqueName,SuperClass,TextDefinition
BEARING PEDESTAL MOUNTED PUMP,"ARTEFACT, PUMP",A <BEARING PEDESTAL MOUNTED PUMP> is an <ARTEFACT> and a <PUMP> that can be mounted on a bearing pedestal. The bearing pedestal is typically needed for long-coupled direct drive
BELLOW MECHANICAL SEAL,MECHANICAL SEAL,A <BELLOW MECHANICAL SEAL> is a <MECHANICAL SEAL> utilising flexible metal or rubber bellows to act both as pusher spring and to provide secondary sealing.
BELLOW SEAL,MECHANICAL SEAL,A <BELLOW SEAL> is a <MECHANICAL SEAL> utilizing metallic bellows to control seal face contact
BELLOWS PUMP,POSITIVE DISPLACEMENT PUMP,A <BELLOWS PUMP> is a <POSITIVE DISPLACEMENT PUMP> where a deformable bellow make form of a chamber with non-return valves on the inlet and outlet
BELT DRIVE,TRANSMISSION,A <BELT DRIVE> is a <TRANSMISSION> using pulleys and belts to transmit power
BELT DRIVEN PUMP,"ARTEFACT, PUMP",A <BELT DRIVEN PUMP> is an <ARTEFACT> and a <PUMP> that is driven by a belt
BEND RESTRICTOR,"ARTEFACT, BEND LIMITER","A <BEND RESTRICTOR> is an <ARTEFACT> and a <BEND LIMITER> having a mechanical stop to limit the local radius of curvature of a flexible pipe, cable or umbilical to a minimum value"
BETWEEN BEARINGS CENTRIFUGAL PUMP,CENTRIFUGAL PUMP,A <BETWEEN BEARINGS CENTRIFUGAL PUMP> is a <CENTRIFUGAL PUMP> where the impeller or impellers are mounted on a shaft between bearings.
BEVEL GEAR,GEAR,"A <BEVEL GEAR> is a <GEAR> where the axes of the two shafts intersect and the tooth-bearing faces of the gears themselves are conically shaped. Bevel gears are most often mounted on shafts that are 90 degrees apart, but can be designed to work at other angles as well"
BEVELLED END SWIVEL JOINT TYPE 30 LONG RADIUS LOW-PRESSURE,SWIVEL JOINT STYLE 30 LR BEVELLED END,A <BEVELLED END SWIVEL JOINT TYPE 30 LONG RADIUS LOW-PRESSURE> is a <SWIVEL JOINT STYLE 30 LR BEVELLED END> rated at 1000 psi cold working pressure
BIDIRECTIONAL MECHANICAL SEAL,MECHANICAL SEAL,"A <BIDIRECTIONAL MECHANICAL SEAL> is a <MECHANICAL SEAL> that allows bidirectional rotation, i.e can rotate both clockwise and counterclockwise."
BIDIRECTIONAL PNEUMATIC MOTOR,PNEUMATIC MOTOR,A <BIDIRECTIONAL PNEUMATIC MOTOR> is a <PNEUMATIC MOTOR> capable of delivering rotary motion in two in two directions.
BIOCIDE INFIX SYSTEM,"ARTEFACT, FLUID DISTRIBUTION SYSTEM","A <BIOCIDE INFIX SYSTEM> is an <ARTEFACT> and a <FLUID DISTRIBUTION SYSTEM> intended for loading, storage, pumping and distribution of <BIOCIDE>"
BLOWER,FunctionalObject,A <BLOWER> is a <FunctionalObject> that is capable of <BLOWING> a medium volume flow
BOILER FEED WATER PUMP,PUMP,A <BOILER FEED WATER PUMP> is  a <PUMP> that is specifically designed for <PUMPING> <BOILER FEED WATER>
BOILER FEEDWATER PUMP,CENTRIFUGAL PUMP,A <BOILER FEEDWATER PUMP> is a <CENTRIFUGAL PUMP>  specially designed for pumping <BOILER FEEDWATER>
BOLTING ASSEMBLY,ASSEMBLY,"A <BOLTING ASSEMBLY> is an <ASSEMBLY> of <BOLT>s, <NUT>s, <WASHER>s <SPLIT PIN>s, etc"
BOREHOLE FLUSHING PUMP,PUMP,A <BOREHOLE FLUSHING PUMP> is a <PUMP> that is specifically designed for <FLUSHING> a borehole
BOREHOLE PUMP,"ARTEFACT, PUMP",A <BOREHOLE PUMP> is an <ARTEFACT> and a <PUMP> where either the pump and driver (electric or hydraulic ) are immersed in the borehole or the pump is rod driven from the surface
BOREHOLE RECIPROCATING PUMP,BOREHOLE PUMP,A <BOREHOLE RECIPROCATING PUMP> is a <BOREHOLE PUMP> and a <RECIPROCATING PUMP>
BOREHOLE SHAFT DRIVEN CENTRIFUGAL PUMP,"BOREHOLE PUMP, ELECTRICAL ROTATING MACHINE DESIGNED FOR SHAFT DRIVEN TRANSMISSION",A <BOREHOLE SHAFT DRIVEN CENTRIFUGAL PUMP> is a <BOREHOLE PUMP> and a <ELECTRICAL ROTATING MACHINE DESIGNED FOR SHAFT DRIVEN TRANSMISSION>
BORIC ACID PUMP,PUMP,A <BORIC ACID PUMP> is a <PUMP> that is specifically designed for <PUMPING> <BORIC ACID>
BORON INJECTION PUMP,PUMP,A <BORON INJECTION PUMP> is a <PUMP> that is specifically designed for <INJECTING> <BORON>
BOTTOM ENTRY MIXER,DYNAMIC MIXER,A <BOTTOM ENTRY MIXER> is a <DYNAMIC MIXER> intended to be installed at the bottom of a vessel
BOTTOM ENTRY VERTICAL INLET CENTRIFUGAL PUMP,CENTRIFUGAL PUMP,A <BOTTOM ENTRY VERTICAL INLET CENTRIFUGAL PUMP> is a <CENTRIFUGAL PUMP> that has a bottom vertical inlet entry.
BOTTOM VALVE PORT,"ARTEFACT, FLUID PORT",A <BOTTOM VALVE PORT> is an <ARTEFACT> and a <FLUID PORT> that enables a <BOTTOM VALVE> to be attached
BOWL CENTRIFUGE,CENTRIFUGE,A <BOWL CENTRIFUGE> i a <CENTRIFUGE> intended to separate fluids within a bowl
BOWL GUIDE BUSHING,GUIDE BUSHING,A <BOWL GUIDE BUSHING> is a <GUIDE BUSHING> intended to be situated in a pump bowl.
BOWL TYPE CASING,PUMP CASING,"A <BOWL TYPE CASING> is a <PUMP CASING> that has the shape of a bowl, intended to surround an impeller. The inlet and outlet is respectively the bottom and top end of the bowl."
BOXER ENGINE,RECIPROCATING PISTON ENGINE,"A <BOXER ENGINE> is a <RECIPROCATING PISTON ENGINE> with an engine block where the cylinders are placed in the horizontal plane, i.e. in a flat cylinder configuration."
BOXER ENGINE CYLINDER BLOCK,PISTON ENGINE BLOCK,"A <BOXER ENGINE CYLINDER BLOCK> is a <PISTON ENGINE BLOCK> where the cylinders are placed in the horizontal plane, i.e. in a flat cylinder configurartion."
BRACKET MOUNTED CASING,PUMP CASING,A <BRACKET MOUNTED CASING> is a <PUMP CASING> intended to be mounted on a purpose-made bracket.
BRACKET MOUNTED PUMP CASING,PUMP CASING,A <BRACKET MOUNTED PUMP CASING> is a <PUMP CASING> suitable for mounting on a purpose-made bracket
BRAKE,FunctionalObject,A <BRAKE> is a <FunctionalObject> that has the capability of <BRAKING>
BRAKE BLOCK HOLDER NUT,NUT,A <BRAKE BLOCK HOLDER NUT> is a <NUT> fixing the brake block to the brake block holder
BRAKE COMPONENT,COMPONENT,A <BRAKE COMPONENT> is a <COMPONENT> that is a part of a <BRAKE> system
BRAKE CYLINDER,PISTON CYLINDER,A <BRAKE CYLINDER> is a <PISTON CYLINDER> which converts the pressure on the brake pedal to hydraulic pressure by feeding brake fluid into the brake circuit and controlling this according to the mechanical force
BRAKE DRUM,BRAKE COMPONENT,A <BRAKE DRUM> is a <BRAKE COMPONENT> that is a steel or cast-iron drum attached to a wheel or shaft so that its motion may be retarded by the application of an external band or internal brake shoes.
BRAKE UNIT,"ARTEFACT, BRAKE","A <BRAKE UNIT> is an <ARTEFACT> and a <BRAKE> that is applying resistance to the motion of a body, either to retard it, as with a vehicle brake, or to absorb and measure the power developed in an engine or a motor"
BRAZED IMPELLER,"ARTEFACT, IMPELLER",A <BRAZED IMPELLER> is an <ARTEFACT> and an <IMPELLER> that is provided with vanes that are attached by means of brazing
BUCKET PUMP,ROTARY PUMP,"A <BUCKET PUMP> is a <ROTARY PUMP> that is mainly used in drilled wells. It consists of a windlass over a 125 mm PVC tube, down which a narrow bucket with a valve in the base is lowered into the water on a chain. When the bucket hits the water, the valve opens and the water flows in. When the bucket is raised, the valve closes and the water is retained in the bucket"
BUCKLE INITIATOR,"ARTEFACT, SYSTEM",A <BUCKLE INITIATOR> is an <ARTEFACT> and a <SYSTEM> for laterally displacing a subsea flowline for the purposes of initiating a localised and controlled buckle
BUILDING(structure),STRUCTURE(mechanical),"A <BUILDING(structure)> is a <STRUCTURE(mechanical)> that is for a purpose, made of a strong material such as stone, steel, plastic or wood that has a <ROOF> and <WALL>s"
BUILT CRANKSHAFT,CRANKSHAFT,A <BUILT CRANKSHAFT> is a <CRANKSHAFT> that is made of several parts joined together by welding or shrinking.
BUILT CRANKSHAFT WITH BUILT CRANKTHROW,BUILT CRANKSHAFT,A <BUILT CRANKSHAFT WITH BUILT CRANKTHROW> is a <BUILT CRANKSHAFT> having crankthrow(s) made of several parts.
BUILT CRANKSHAFT WITH SINGLE PIECE CRANKTHROW,BUILT CRANKSHAFT,A <BUILT CRANKSHAFT WITH SINGLE PIECE CRANKTHROW> is a <BUILT CRANKSHAFT> having crankthrow(s) made of one piece.
BUILT CRANKTHROW,CRANKTHROW,A <BUILT CRANKTHROW> is a <CRANKTHROW> that is made from several pieces.
BULK PACKING SYSTEM,"ARTEFACT, TRANSPORTATION AND PACKING SYSTEM",A <BULK PACKING SYSTEM> is an <ARTEFACT> and a <TRANSPORTATION AND PACKING SYSTEM> that wraps the products with some kind of transport security material
CABLE PUMP,DRAWN FLUID PUMP,A <CABLE PUMP> is a <DRAWN FLUID PUMP> that lifts viscous liquids by means of an endless cable.
CAGE GEAR,GEAR,"A <CAGE GEAR> is a <GEAR> that has cylindrical rods for teeth, parallel to the axle and arranged in a circle around it, much as the bars on a round bird cage or lantern"
CAM,"ARTEFACT, MOTION CONVERTER",A <CAM> is an <ARTEFACT> and a <MOTION CONVERTER> that is a rotating or sliding piece in a mechanical linkage used in transforming rotary motion into linear motion or vice versa
CAM ROLLER,ENGINE COMPONENT,A <CAM ROLLER> is an <ENGINE COMPONENT> that is a roller or rotating disc attached to the end of a push rod giving intermittent straight-line motion from a cam to the rod. Also referred to as cam follower.
CAM TYPE LUBRICATOR,"ARTEFACT, LUBRICATOR",A <CAM TYPE LUBRICATOR> is an <ARTEFACT> and a <LUBRICATOR> that uses a cam and piston motion to pump oil
CAMSHAFT,SHAFT,A <CAMSHAFT> is a <SHAFT> to which one or more cams are fastened or with which one or more cams form an integral part.
CAMSHAFT ASSEMBLY,ENGINE COMPONENT,A <CAMSHAFT ASSEMBLY> is an <ENGINE COMPONENT> that is an assembly of a shaft and the cam(s).
CAMSHAFT BEARING,"ARTEFACT, BEARING",A <CAMSHAFT BEARING> is an<ARTEFACT> and a <BEARING> that is supporting the camshaft
CAMSHAFT DRIVE ASSEMBLY,ENGINE COMPONENT,A <CAMSHAFT DRIVE ASSEMBLY> is an <ENGINE COMPONENT> that is an assembly of gear wheels or a roller chain to transmit rotary motion from the crankshaft to the camshaft.
CANNED MOTOR CENTRIFUGAL PUMP,SEALLESS CENTRIFUGAL PUMP,A <CANNED MOTOR CENTRIFUGAL PUMP> is a <SEALLESS CENTRIFUGAL PUMP> where both the impeller and the motor rotor are surrounded by the pumped liquid and where a liner (can) is placed between rotor and stator to isolate the stator from the pumped liquid.
CANTILEVER CENTRIFUGAL PUMP,VERTICAL CENTRIFUGAL PUMP,A <CANTILEVER CENTRIFUGAL PUMP> is a <VERTICAL CENTRIFUGAL PUMP> that has no bearings below the liquid surface. External grease lubricated bearings are provided above the floor plate and are properly spaced to support the rigid shaft.
CARBON RING SEPARATION SEAL,SEPARATION SEAL,A <CARBON RING SEPARATION SEAL> is a <SEPARATION SEAL> that uses carbon rings for sealing
CARBURETTOR,STATIC MIXER,A <CARBURETTOR> is a <STATIC MIXER> mixing air and volatile liquid fuel by drawing the fuel into an air stream which is flowing through a venturi
CARTRIDGE MECHANICAL SEAL,MECHANICAL SEAL,A <CARTRIDGE MECHANICAL SEAL> is a <MECHANICAL SEAL> that is preassembled for sliding onto a shaft and bolting to a face.
CASING,"ARTEFACT, ENCLOSURE",A <CASING> is an <ARTEFACT> and an <ENCLOSURE> that is the stationary enclosure of a machine intended to contain a fluid and equipment internals
CASING CENTRALIZER,"ARTEFACT, CENTRALIZER",A <CASING CENTRALIZER> is an <ARTEFACT> and a <CENTRALIZER> capable of guiding a casing into centralised position. Normally a cylindrical cage-like device fitted to a wells casing as it run to keep the casing centered in the borehole
CASING COVER,"ARTEFACT, COVER",A <CASING COVER> is an <ARTEFACT> and a <COVER> that is a closure part of a casing
CASING DRAIN,"ARTEFACT, DRAIN PORT",A <CASING DRAIN> is an <ARTEFACT> and a <DRAIN PORT> that allows for exit of a fluid from a casing
CASING GASKET,GASKET,"A <CASING GASKET> is a <GASKET> that is intended to seal parts of a casing where they are connecte,d and prevent leakage or ingress into the casing"
CASING INTERNAL LINING,"ARTEFACT, LINING","A <CASING INTERNAL LINING> is an <ARTEFACT> and a <LINING> that consists of a metal or polymer material, attached to the innerside of the casing, to prevent direct contact between the medium to be pumped and the casing material"
CASING JACKET,JACKET,"A <CASING JACKET> is a <JACKET> intended to transport either a heating or cooling medium within the casing, in order to manage the temperature of the medium transferred."
CASING JOINT O-RING,O-RING,A <CASING JOINT O-RING> is an <O-RING> of special design intended to prevent leakage of process medium at casing joint
CASING NUT,NUT,A <CASING NUT> is a <NUT> that is intended for use to assemble casing components
CASING STUD,DRILLING COMPONENT,A <CASING STUD> is a <DRILLING COMPONENT>that is intended for use to assemble casing components.
CASING VENT,"ARTEFACT, VENTILATING DEVICE","A <CASING VENT> is an <ARTEFACT> and a <VENTILATING DEVICE> that is intended to release the pressure in a casing or to prevent airlocks in a fluid, and also acts as valve to release air trapped in the casing"
CASING WEAR RING,WEAR RING,A <CASING WEAR RING> is a <WEAR RING> that is interchangeable and fitted to a pump casing in order to reduce the leakage rate between the impeller and the casing. It is a sacrificial component.
CAST AXIAL SPLIT CASING,"AXIAL SPLIT CASING, CAST CASING",A <CAST AXIAL SPLIT CASING> is a <AXIAL SPLIT CASING> and a <CAST CASING>
CAST CASING,CASING,A <CAST CASING> is a <CASING> that is cast
CAST CRANKSHAFT,"CAST ARTEFACT, SINGLE PIECE CRANKSHAFT",A <CAST CRANKSHAFT> is a <SINGLE PIECE CRANKSHAFT> and a <CAST ARTEFACT> made out of one cast piece
CAST IMPELLER,"ARTEFACT, IMPELLER",A <CAST IMPELLER> is an <ARTEFACT> and an <IMPELLER> that is cast
CAST IRON ENGINE BED PLATE,PISTON ENGINE BED PLATE,A <CAST IRON ENGINE BED PLATE> is a <PISTON ENGINE BED PLATE> that is made of cast iron.
CAULKING WIRE,WIRE,A <CAULKING WIRE> is a <WIRE> intended to fix a <SEALING STRIP> on a <SHAFT>
CAVERN PUMP,"ARTEFACT, PUMP",A <CAVERN PUMP> is an <ARTEFACT> and a <PUMP> that is used or intended to be used in a cavern
CEMENT SLURRY PUMP,PUMP,A <CEMENT SLURRY PUMP> is  a <PUMP> that is specifically designed for <PUMPING> <CEMENT SLURRY>
CENTERING RING,RING,A <CENTERING RING> is a <RING> that is mounted between suction cover and bearing bracket and intended to serve both as housing for the pumpshaft sleeve bearing and as support for the spacer can
CENTRAL CASING,CASING,A <CENTRAL CASING> is a  <CASING> that is located between the intake casing and exhaust casing
CENTRE-LINE MOUNTED CASING,PUMP CASING,A <CENTRE-LINE MOUNTED CASING> is a <PUMP CASING> where the casing support is located at the outside of the machine centerline and the casing support legs are at pump centre line to hold up the casing from there
CENTRELINE-MOUNTED CENTRIFUGAL PUMP,CENTRIFUGAL PUMP,A <CENTRELINE-MOUNTED CENTRIFUGAL PUMP> is a <CENTRIFUGAL PUMP> that has a <CENTRELINE-MOUNTED CASING>
CENTRIFUGAL BLOWER,"ARTEFACT, BLOWER","A <CENTRIFUGAL BLOWER> is an <ARTEFACT> and a <BLOWER> that is provided with an impeller, and generates pressure increase by means of centrifugal action and a volute casing."
CENTRIFUGAL COMPRESSOR,"ARTEFACT, COMPRESSOR","A <CENTRIFUGAL COMPRESSOR> is an <ARTEFACT> and a <COMPRESSOR> in which one ore more impellers accelerate the gas and where the main flow through the impeller is radial, and generates pressure increase by means of centrifugal action and a volute or diffuser casing."
CENTRIFUGAL COMPRESSOR BALANCE PISTON,BALANCE PISTON,A <CENTRIFUGAL COMPRESSOR BALANCE PISTON> is a <BALANCE PISTON> that is used to balance the axial thrust in a centrifugal compressor
CENTRIFUGAL COMPRESSOR BEARING HOUSING,BEARING HOUSING,A <CENTRIFUGAL COMPRESSOR BEARING HOUSING> is a <BEARING HOUSING> for a centrifugal compressor.
CENTRIFUGAL COMPRESSOR BUFFER FLUID SYSTEM,BUFFER FLUID SYSTEM,A <CENTRIFUGAL COMPRESSOR BUFFER FLUID SYSTEM> is a <BUFFER FLUID SYSTEM> that is used in the sealing system of a centrifugal compressor
CENTRIFUGAL COMPRESSOR CASING,COMPRESSOR CASING,A <CENTRIFUGAL COMPRESSOR CASING> is a <COMPRESSOR CASING> that is intended to be used for a centrifugal compressor.
CENTRIFUGAL COMPRESSOR DIAPHRAGM,DIAPHRAGM,A <CENTRIFUGAL COMPRESSOR DIAPHRAGM> is a <DIAPHRAGM> intended to be used on a centrifugal compressor.
CENTRIFUGAL COMPRESSOR DRIVER ROTOR,CENTRIFUGAL COMPRESSOR ROTOR,A <CENTRIFUGAL COMPRESSOR DRIVER ROTOR> is a <CENTRIFUGAL COMPRESSOR ROTOR> for the driver that is intended to be used on a centrifugal compressor.
CENTRIFUGAL COMPRESSOR DRIVER SHAFT,SHAFT,A <CENTRIFUGAL COMPRESSOR DRIVER SHAFT> is a <SHAFT> for the driver for a centrifugal compressor.
CENTRIFUGAL COMPRESSOR GEAR ROTOR,CENTRIFUGAL COMPRESSOR ROTOR,A <CENTRIFUGAL COMPRESSOR GEAR ROTOR> is a <CENTRIFUGAL COMPRESSOR ROTOR> for the gear that is intended to be used on a centrifugal compressor.
CENTRIFUGAL COMPRESSOR IMPELLER EYE,Feature,A <CENTRIFUGAL COMPRESSOR IMPELLER EYE> is a <Feature> that is a center inlet passage for the impeller in a centrifugal compressor
CENTRIFUGAL COMPRESSOR IMPELLER TIP,Feature,A <CENTRIFUGAL COMPRESSOR IMPELLER TIP> is a <Feature> that is an outer radius point of the impeller in a centrifugal compressor
CENTRIFUGAL COMPRESSOR IMPELLER VANE,IMPELLER VANE,A <CENTRIFUGAL COMPRESSOR IMPELLER VANE> is an <IMPELLER VANE> intended for use inside a centrifugal compressor.
CENTRIFUGAL COMPRESSOR LABYRINTH AT BALANCE PISTON,LABYRINTH SEAL,A <CENTRIFUGAL COMPRESSOR LABYRINTH AT BALANCE PISTON> is a <LABYRINTH SEAL> that is intended used at balance piston on a centrifugal compressor.
CENTRIFUGAL COMPRESSOR LABYRINTH AT INTERSTAGE,LABYRINTH SEAL,A <CENTRIFUGAL COMPRESSOR LABYRINTH AT INTERSTAGE> is a <LABYRINTH SEAL> that is intended to be used as a inter-stage seal in a centrifugal compressor
CENTRIFUGAL COMPRESSOR LABYRINTH SHAFT SEAL,LABYRINTH SHAFT SEAL,A <CENTRIFUGAL COMPRESSOR LABYRINTH SHAFT SEAL> is a <LABYRINTH SHAFT SEAL> that is used to prevent leakage from the centrifugal compressor casing to the atmosphere
CENTRIFUGAL COMPRESSOR LABYRINTH SHAFT SEAL FOR BALANCE PISTON,CENTRIFUGAL COMPRESSOR LABYRINTH SHAFT SEAL,A <CENTRIFUGAL COMPRESSOR LABYRINTH SHAFT SEAL FOR BALANCE PISTON> is a <CENTRIFUGAL COMPRESSOR LABYRINTH SHAFT SEAL> that is used at the balance piston.
